Address,Distance from fort,min_dist_nearest_bank,min_dist_nearest_Supermarket,min_dist_nearest_express,min_dist_nearest_railway
battaramulla,11.35,0.046516086,0.275528356,6.632045539,4.07247222
nawala,9.16,0.047406525,0.229319769,7.480199518,0.647482412
mount lavinia,12.89,0.028453853,0.113299872,12.64244388,0.528389071
divulpitiya,12.6,1.328255911,0.315817967,9.697738198,1.97051461
kollupitiya,4.22,0.083896065,0.234180842,5.676326993,0.379336786
pannipitiya,17.26,0.104367405,0.685837638,3.716698378,0.089601941
hokandara,16.39,0.024556017,1.187704419,1.871289347,3.876447241
korathota,19.72,2.258348808,2.126974979,2.59671565,7.635108885
makumbura,19.88,0.864897004,0.670444824,0.984196476,0.596317226
kaduwela,17.66,0.351838973,0.22296895,1.341754436,9.982145833
havelock town,7.57,0.344641591,0.118453506,7.759564862,1.511477789
kosgama,34.52,0.022707491,6.08034501,17.54383842,0.032153225
thalawathugoda,14.19,0.047187666,0.207307327,4.620078445,3.239812649
athurugiriya,19.59,0.0702284,0.225418134,1.626447486,3.488327488
rajagiriya,8.66,0.064668268,0.050657848,5.213415717,1.3669029
dehiwala,10.96,0.126142707,0.460378059,11.53988387,0.42972373
piliyandala,18.85,0.144675834,0.49262073,6.672114016,5.148238391
madapatha,22.59,3.189759435,3.053364406,5.842113383,5.025225136
kesbewa,21.21,1.481078738,1.358658138,5.27731528,5.682614182
makandana,22.39,1.821689416,1.602959146,4.118825144,6.739824789
boralesgamuwa,13.98,0.071858443,0.100746527,8.830429042,2.212403368
kirulapone,8.43,0.06226201,0.220060054,8.270892022,1.393859989
nawagamuwa,21.5,0.085015366,0.078489009,4.330842323,8.553697374
ethulkotte,10.38,0.312880087,0.597689536,6.877783599,3.104369608
thalapathpitiya,12.98,0.592912586,0.753254352,6.936892334,0.970979431
halpita,22.44,1.699276938,1.23338234,3.267675424,7.04024369
ranala,23.32,1.844832933,1.969323048,6.124351023,7.643558956
habarakada,22.48,2.639915599,0.360470047,4.526230179,2.158402885
hanwella,32.72,1.089855937,3.205859997,15.53202167,1.009932711
kahathuduwa,24.82,0.031648336,3.055274365,0.409507119,6.811585774
nugegoda,10.57,0.053768922,0.253841443,9.365425049,0.380556553
malabe,14.94,0.125554587,0.297162444,3.332054051,6.321523914
bope,36.09,4.421975181,4.992931183,16.69440877,3.421132423
pitakotte,10.64,0.069620362,0.265138276,8.09204828,1.80277564
bokundara,17.05,0.209031029,0.224225553,7.422553915,3.42874365
maradana,4.65,0.319050688,0.127508492,3.666523287,0.237042731
bambalapitiya,5.42,0.216845753,0.248492837,6.485148777,0.987947003
kottawa,18.99,0.069482791,0.265588994,1.810057975,0.314617717
kurunduwatta,5.79,0.177139619,0.270995056,5.260460783,1.882027165
moratuwa,19.51,0.155937673,0.531430234,10.87016748,0.069034825
homagama,22.61,0.201421298,0.014518784,2.379564136,0.489734538
pitipana,25.91,2.68514114,2.119728706,5.442128017,2.425299821
padukka,31.51,0.047108561,0.395558833,12.16728407,0.149133019
madiwela,12.76,1.225216639,1.004871588,6.068423112,2.350095105
kalalgoda,15.26,0.840241812,0.267587215,4.19047343,2.465629359
kawdana,12.05,0.622711857,0.624649718,11.82000181,1.565890489
bomiriya,20.21,1.564251976,1.45545367,3.231228684,9.461703594
